"order_month","main_category","orders_c","gmv_c","aov_c"
"2017-08-01 00:00:00.000","perfumaria","117","13104.599999999999","112.00512820512819"
"2017-08-01 00:00:00.000","informatica_acessorios","290","34005.35999999998","117.25986206896545"
"2017-08-01 00:00:00.000","brinquedos","166","17783.659999999996","107.13048192771082"
"2017-08-01 00:00:00.000","cool_stuff","230","38046.229999999974","165.41839130434772"
"2017-08-01 00:00:00.000","pet_shop","73","10303.19","141.1395890410959"
"2017-08-01 00:00:00.000","automotivo","128","18972.51","148.222734375"
"2017-08-01 00:00:00.000","eletroportateis","32","4297.01","134.2815625"
"2017-08-01 00:00:00.000","ferramentas_jardim","191","22745.939999999995","119.08869109947642"
"2017-08-01 00:00:00.000","eletrodomesticos_2","15","3686.55","245.77"
"2017-08-01 00:00:00.000","telefonia_fixa","14","3407.0299999999997","243.3592857142857"
"2017-08-01 00:00:00.000","artes","4","244.7","61.175"
"2017-08-01 00:00:00.000","climatizacao","12","4271.73","355.97749999999996"
"2017-08-01 00:00:00.000","dvds_blu_ray","6","113.39999999999999","18.9"
"2017-07-01 00:00:00.000","relogios_presentes","149","33372.52","223.97664429530198"
"2017-07-01 00:00:00.000","moveis_escritorio","97","16952.409999999996","174.76711340206182"
"2017-07-01 00:00:00.000","cama_mesa_banho","500","63703.72999999992","127.40745999999984"
"2017-07-01 00:00:00.000","","50","2928.8599999999997","58.57719999999999"
"2017-07-01 00:00:00.000","perfumaria","114","12735.679999999997","111.71649122807014"
"2017-07-01 00:00:00.000","automotivo","102","14123.59","138.46656862745098"
"2017-07-01 00:00:00.000","consoles_games","44","5346.240000000001","121.50545454545455"
"2017-07-01 00:00:00.000","alimentos","6","556.66","92.77666666666666"
"2017-07-01 00:00:00.000","eletrodomesticos_2","7","1033.99","147.71285714285713"
"2017-07-01 00:00:00.000","climatizacao","5","1396.1","279.21999999999997"
"2017-06-01 00:00:00.000","eletroportateis","23","9698.81","421.6873913043478"
"2017-06-01 00:00:00.000","automotivo","101","29335.709999999992","290.4525742574257"
"2017-06-01 00:00:00.000","fashion_bolsas_e_acessorios","75","6722.130000000002","89.62840000000003"
"2017-06-01 00:00:00.000","casa_conforto","15","2705.29","180.35266666666666"
"2017-06-01 00:00:00.000","pet_shop","58","5053.570000000001","87.13051724137932"
"2017-06-01 00:00:00.000","moveis_escritorio","45","7279.130000000001","161.75844444444448"
"2017-06-01 00:00:00.000","fashion_roupa_masculina","7","519.79","74.25571428571428"
"2017-06-01 00:00:00.000","consoles_games","26","5309.03","204.19346153846152"
"2017-06-01 00:00:00.000","moveis_cozinha_area_de_servico_jantar_e_jardim","4","374.8","93.7"
"2017-06-01 00:00:00.000","cine_foto","1","79.0","79.0"
"2017-10-01 00:00:00.000","esporte_lazer","417","48644.579999999965","116.65366906474812"
"2017-10-01 00:00:00.000","ferramentas_jardim","211","25538.859999999993","121.03725118483409"
"2017-10-01 00:00:00.000","eletronicos","55","3436.25","62.47727272727273"
"2017-10-01 00:00:00.000","pet_shop","64","8243.580000000002","128.80593750000003"
"2017-10-01 00:00:00.000","fashion_calcados","16","1860.92","116.3075"
"2017-10-01 00:00:00.000","fashion_bolsas_e_acessorios","92","7564.360000000001","82.22130434782609"
"2017-10-01 00:00:00.000","bebes","130","16186.639999999996","124.51261538461536"
"2017-10-01 00:00:00.000","moveis_decoracao","263","30002.589999999986","114.07828897338398"
"2017-10-01 00:00:00.000","moveis_sala","13","1532.79","117.90692307692308"
"2017-10-01 00:00:00.000","moveis_cozinha_area_de_servico_jantar_e_jardim","14","3428.6","244.9"
"2017-10-01 00:00:00.000","agro_industria_e_comercio","5","3350.28","670.056"
"2017-10-01 00:00:00.000","market_place","10","1019.54","101.954"
"2017-10-01 00:00:00.000","casa_construcao","15","4401.16","293.41066666666666"
