"order_month","month_index","sort_in_month","sort_key","stage","component","amount","is_total"
"2016-10-01 00:00:00.000","1","0","10","Start","GMV","134.97","true"
"2016-12-01 00:00:00.000","2","0","20","Start","GMV","40325.110000000095","true"
"2017-01-01 00:00:00.000","3","0","30","Start","GMV","10.9","true"
"2017-02-01 00:00:00.000","4","0","40","Start","GMV","111798.35999999968","true"
"2017-03-01 00:00:00.000","5","0","50","Start","GMV","234223.39999999697","true"
"2017-04-01 00:00:00.000","6","0","60","Start","GMV","359198.85","true"
"2017-05-01 00:00:00.000","7","0","70","Start","GMV","340669.6799999994","true"
"2017-06-01 00:00:00.000","8","0","80","Start","GMV","489338.2500000074","true"
"2017-07-01 00:00:00.000","9","0","90","Start","GMV","421923.37000000436","true"
"2017-08-01 00:00:00.000","10","0","100","Start","GMV","481604.52000000654","true"
"2017-09-01 00:00:00.000","11","0","110","Start","GMV","554699.7000000083","true"
"2017-10-01 00:00:00.000","12","0","120","Start","GMV","607399.6700000105","true"
"2017-11-01 00:00:00.000","13","0","130","Start","GMV","648247.6500000112","true"
"2017-12-01 00:00:00.000","14","0","140","Start","GMV","987765.3700000282","true"
"2018-01-01 00:00:00.000","15","0","150","Start","GMV","726033.1900000168","true"
"2018-02-01 00:00:00.000","16","0","160","Start","GMV","924645.0000000296","true"
"2018-03-01 00:00:00.000","17","0","170","Start","GMV","826437.1300000241","true"
"2018-04-01 00:00:00.000","18","0","180","Start","GMV","953356.250000025","true"
"2018-05-01 00:00:00.000","19","0","190","Start","GMV","973534.0900000244","true"
"2018-06-01 00:00:00.000","20","0","200","Start","GMV","977544.6900000243","true"
"2018-07-01 00:00:00.000","21","0","210","Start","GMV","856077.8600000164","true"
"2018-08-01 00:00:00.000","22","0","220","Start","GMV","867953.4600000188","true"
"2016-10-01 00:00:00.000","1","4","14","End","GMV","40325.110000000095","true"
"2016-12-01 00:00:00.000","2","4","24","End","GMV","10.9","true"
"2017-01-01 00:00:00.000","3","4","34","End","GMV","111798.35999999968","true"
