"order_month","month_index","sort_in_month","sort_key","stage","component","amount","is_total"
"2016-10-01 00:00:00.000","1","2","12","Mix","Mix","22.792901645925173","false"
"2016-12-01 00:00:00.000","2","2","22","Mix","Mix","-93.9673316782521","false"
"2017-01-01 00:00:00.000","3","2","32","Mix","Mix","543.0679193511264","false"
"2017-02-01 00:00:00.000","4","2","42","Mix","Mix","0.3522209992882397","false"
"2017-03-01 00:00:00.000","5","2","52","Mix","Mix","1.314155201906115","false"
"2017-04-01 00:00:00.000","6","2","62","Mix","Mix","0.4473307272023552","false"
"2017-05-01 00:00:00.000","7","2","72","Mix","Mix","0.043053967538247306","false"
"2017-06-01 00:00:00.000","8","2","82","Mix","Mix","-1.1699685160909183","false"
"2017-07-01 00:00:00.000","9","2","92","Mix","Mix","0.18939851742117497","false"
"2017-08-01 00:00:00.000","10","2","102","Mix","Mix","-0.030905534062510398","false"
"2017-09-01 00:00:00.000","11","2","112","Mix","Mix","0.7100599406119237","false"
"2017-10-01 00:00:00.000","12","2","122","Mix","Mix","0.14364301614208852","false"
"2017-11-01 00:00:00.000","13","2","132","Mix","Mix","-1.1222127358061869","false"
"2017-12-01 00:00:00.000","14","2","142","Mix","Mix","-0.324301083243399","false"
"2018-01-01 00:00:00.000","15","2","152","Mix","Mix","-0.3938144583571619","false"
"2018-02-01 00:00:00.000","16","2","162","Mix","Mix","-0.17984780458060534","false"
"2018-03-01 00:00:00.000","17","2","172","Mix","Mix","-0.13108262842139773","false"
"2018-04-01 00:00:00.000","18","2","182","Mix","Mix","-0.2044814420156129","false"
"2018-05-01 00:00:00.000","19","2","192","Mix","Mix","-1.0124408622670908","false"
"2018-06-01 00:00:00.000","20","2","202","Mix","Mix","0.7625774585047154","false"
"2018-07-01 00:00:00.000","21","2","212","Mix","Mix","1.3537301899689362","false"
"2018-08-01 00:00:00.000","22","2","222","Mix","Mix","-3.304211564254798","false"
"2016-10-01 00:00:00.000","1","1","11","LFL","LFL","-5.592675230830982","false"
"2016-12-01 00:00:00.000","2","1","21","LFL","LFL","-47.302894736842106","false"
"2017-01-01 00:00:00.000","3","1","31","LFL","LFL","-404.9034393511256","false"
"2017-02-01 00:00:00.000","4","1","41","LFL","LFL","-7.720754235827846","false"
"2017-03-01 00:00:00.000","5","1","51","LFL","LFL","-1.9265002371657802","false"
"2017-04-01 00:00:00.000","6","1","61","LFL","LFL","6.393374969694209","false"
"2017-05-01 00:00:00.000","7","1","71","LFL","LFL","-9.97011096962438","false"
"2017-06-01 00:00:00.000","8","1","81","LFL","LFL","-2.2424748893769895","false"
"2017-07-01 00:00:00.000","9","1","91","LFL","LFL","-10.392872890337072","false"
"2017-08-01 00:00:00.000","10","1","101","LFL","LFL","7.941416438206084","false"
"2017-09-01 00:00:00.000","11","1","111","LFL","LFL","13.359462775676278","false"
"2017-10-01 00:00:00.000","12","1","121","LFL","LFL","-1.7422468872766168","false"
"2017-11-01 00:00:00.000","13","1","131","LFL","LFL","-8.126025031971519","false"
"2017-12-01 00:00:00.000","14","1","141","LFL","LFL","-3.4954675117062037","false"
"2018-01-01 00:00:00.000","15","1","151","LFL","LFL","-0.4981406108955835","false"
"2018-02-01 00:00:00.000","16","1","161","LFL","LFL","-4.545587787419136","false"
"2018-03-01 00:00:00.000","17","1","171","LFL","LFL","10.189123512937016","false"
"2018-04-01 00:00:00.000","18","1","181","LFL","LFL","7.277973392907773","false"
"2018-05-01 00:00:00.000","19","1","191","LFL","LFL","2.6464364189513363","false"
"2018-06-01 00:00:00.000","20","1","201","LFL","LFL","-5.241828000343148","false"
"2018-07-01 00:00:00.000","21","1","211","LFL","LFL","-0.7929603561017173","false"
"2018-08-01 00:00:00.000","22","1","221","LFL","LFL","-5.581681571689338","false"
"2016-10-01 00:00:00.000","1","3","13","End","AOV","152.1702264150942","true"
"2016-12-01 00:00:00.000","2","3","23","End","AOV","10.9","true"
"2017-01-01 00:00:00.000","3","3","33","End","AOV","149.06448000000034","true"
"2017-02-01 00:00:00.000","4","3","43","End","AOV","141.6959467634607","true"
"2017-03-01 00:00:00.000","5","3","53","End","AOV","141.0836017282011","true"
"2017-04-01 00:00:00.000","6","3","63","End","AOV","147.9243074250976","true"
"2017-05-01 00:00:00.000","7","3","73","End","AOV","137.99725042301148","true"
"2017-06-01 00:00:00.000","8","3","83","End","AOV","134.58480701754357","true"
"2017-07-01 00:00:00.000","9","3","93","End","AOV","124.38133264462772","true"
"2017-08-01 00:00:00.000","10","3","103","End","AOV","132.29184354877125","true"
"2017-09-01 00:00:00.000","11","3","113","End","AOV","146.36136626505944","true"
"2017-10-01 00:00:00.000","12","3","123","End","AOV","144.7627623939248","true"
"2017-11-01 00:00:00.000","13","3","133","End","AOV","135.51452462614716","true"
"2017-12-01 00:00:00.000","14","3","143","End","AOV","131.6947560311976","true"
"2018-01-01 00:00:00.000","15","3","153","End","AOV","130.80280096194485","true"
"2018-02-01 00:00:00.000","16","3","163","End","AOV","126.07736536994513","true"
"2018-03-01 00:00:00.000","17","3","173","End","AOV","136.13540625446075","true"
"2018-04-01 00:00:00.000","18","3","183","End","AOV","143.2088982053529","true"
"2018-05-01 00:00:00.000","19","3","193","End","AOV","144.84289376203716","true"
"2018-06-01 00:00:00.000","20","3","203","End","AOV","140.36364322019872","true"
"2018-07-01 00:00:00.000","21","3","213","End","AOV","140.92441305406592","true"
"2018-08-01 00:00:00.000","22","3","223","End","AOV","132.0385199181218","true"
"2016-10-01 00:00:00.000","1","0","10","Start","AOV","134.97","true"
