"order_month","month_index","sort_in_month","sort_key","stage","component","amount","is_total"
"2016-10-01 00:00:00.000","1","1","11","Price","Price","251.53265175718815","false"
"2016-12-01 00:00:00.000","2","1","21","Price","Price","-117.93421725239605","false"
"2017-01-01 00:00:00.000","3","1","31","Price","Price","111.55165388828065","false"
"2017-02-01 00:00:00.000","4","1","41","Price","Price","3.6104559071986415","false"
"2017-03-01 00:00:00.000","5","1","51","Price","Price","-2.0721719287206355","false"
"2017-04-01 00:00:00.000","6","1","61","Price","Price","8.617956255467774","false"
"2017-05-01 00:00:00.000","7","1","71","Price","Price","-10.395543972376615","false"
"2017-06-01 00:00:00.000","8","1","81","Price","Price","-1.2827514109564504","false"
"2017-07-01 00:00:00.000","9","1","91","Price","Price","-11.870604173676355","false"
"2017-08-01 00:00:00.000","10","1","101","Price","Price","6.575714628028308","false"
"2017-09-01 00:00:00.000","11","1","111","Price","Price","12.589835877473831","false"
"2017-10-01 00:00:00.000","12","1","121","Price","Price","-3.896265438959432","false"
"2017-11-01 00:00:00.000","13","1","131","Price","Price","-7.777793496068085","false"
"2017-12-01 00:00:00.000","14","1","141","Price","Price","0.7976939192610644","false"
"2018-01-01 00:00:00.000","15","1","151","Price","Price","-2.299654485711926","false"
"2018-02-01 00:00:00.000","16","1","161","Price","Price","-5.120734933434676","false"
"2018-03-01 00:00:00.000","17","1","171","Price","Price","8.989042344110146","false"
"2018-04-01 00:00:00.000","18","1","181","Price","Price","5.46467845485941","false"
"2018-05-01 00:00:00.000","19","1","191","Price","Price","0.7842619327004883","false"
"2018-06-01 00:00:00.000","20","1","201","Price","Price","-3.0433967626270686","false"
"2018-07-01 00:00:00.000","21","1","211","Price","Price","2.5298508833014353","false"
"2018-08-01 00:00:00.000","22","1","221","Price","Price","-7.237408109826291","false"
"2016-10-01 00:00:00.000","1","2","12","Basket","Basket","-89.98","false"
"2016-12-01 00:00:00.000","2","2","22","Basket","Basket","0.0","false"
"2017-01-01 00:00:00.000","3","2","32","Basket","Basket","0.0","false"
"2017-02-01 00:00:00.000","4","2","42","Basket","Basket","0.0","false"
"2017-03-01 00:00:00.000","5","2","52","Basket","Basket","0.0","false"
"2017-04-01 00:00:00.000","6","2","62","Basket","Basket","0.0","false"
"2017-05-01 00:00:00.000","7","2","72","Basket","Basket","0.0","false"
"2017-06-01 00:00:00.000","8","2","82","Basket","Basket","0.0","false"
"2017-07-01 00:00:00.000","9","2","92","Basket","Basket","0.0","false"
"2017-08-01 00:00:00.000","10","2","102","Basket","Basket","0.0","false"
"2017-09-01 00:00:00.000","11","2","112","Basket","Basket","0.0","false"
"2017-10-01 00:00:00.000","12","2","122","Basket","Basket","0.0","false"
"2017-11-01 00:00:00.000","13","2","132","Basket","Basket","0.0","false"
"2017-12-01 00:00:00.000","14","2","142","Basket","Basket","0.0","false"
"2018-01-01 00:00:00.000","15","2","152","Basket","Basket","0.0","false"
"2018-02-01 00:00:00.000","16","2","162","Basket","Basket","0.0","false"
"2018-03-01 00:00:00.000","17","2","172","Basket","Basket","0.0","false"
"2018-04-01 00:00:00.000","18","2","182","Basket","Basket","0.0","false"
"2018-05-01 00:00:00.000","19","2","192","Basket","Basket","0.0","false"
"2018-06-01 00:00:00.000","20","2","202","Basket","Basket","0.0","false"
"2018-07-01 00:00:00.000","21","2","212","Basket","Basket","0.0","false"
"2018-08-01 00:00:00.000","22","2","222","Basket","Basket","0.0","false"
"2016-10-01 00:00:00.000","1","4","14","End","AOV","128.8342172523961","true"
"2016-12-01 00:00:00.000","2","4","24","End","AOV","10.9","true"
"2017-01-01 00:00:00.000","3","4","34","End","AOV","122.45165388828065","true"
"2017-02-01 00:00:00.000","4","4","44","End","AOV","126.0621097954793","true"
"2017-03-01 00:00:00.000","5","4","54","End","AOV","123.9899378667587","true"
"2017-04-01 00:00:00.000","6","4","64","End","AOV","132.60789412222644","true"
"2017-05-01 00:00:00.000","7","4","74","End","AOV","122.2123501498498","true"
"2017-06-01 00:00:00.000","8","4","84","End","AOV","120.9295987388934","true"
"2017-07-01 00:00:00.000","9","4","94","End","AOV","109.05899456521703","true"
"2017-08-01 00:00:00.000","10","4","104","End","AOV","115.63470919324533","true"
"2017-09-01 00:00:00.000","11","4","114","End","AOV","128.22454507071916","true"
"2017-10-01 00:00:00.000","12","4","124","End","AOV","124.32827963175973","true"
"2017-11-01 00:00:00.000","13","4","134","End","AOV","116.55048613569164","true"
"2017-12-01 00:00:00.000","14","4","144","End","AOV","117.3481800549527","true"
"2018-01-01 00:00:00.000","15","4","154","End","AOV","115.04852556924078","true"
"2018-02-01 00:00:00.000","16","4","164","End","AOV","109.9277906358061","true"
"2018-03-01 00:00:00.000","17","4","174","End","AOV","118.91683297991625","true"
"2018-04-01 00:00:00.000","18","4","184","End","AOV","124.38151143477566","true"
"2018-05-01 00:00:00.000","19","4","194","End","AOV","125.16577336747615","true"
"2018-06-01 00:00:00.000","20","4","204","End","AOV","122.12237660484908","true"
"2018-07-01 00:00:00.000","21","4","214","End","AOV","124.6522274881505","true"
"2018-08-01 00:00:00.000","22","4","224","End","AOV","117.41481937832422","true"
"2016-10-01 00:00:00.000","1","3","13","Interaction","Interaction","-167.6884345047921","false"
"2016-12-01 00:00:00.000","2","3","23","Interaction","Interaction","-0.0","false"
"2017-01-01 00:00:00.000","3","3","33","Interaction","Interaction","0.0","false"
"2017-02-01 00:00:00.000","4","3","43","Interaction","Interaction","0.0","false"
"2017-03-01 00:00:00.000","5","3","53","Interaction","Interaction","-0.0","false"
"2017-04-01 00:00:00.000","6","3","63","Interaction","Interaction","0.0","false"
"2017-05-01 00:00:00.000","7","3","73","Interaction","Interaction","-0.0","false"
"2017-06-01 00:00:00.000","8","3","83","Interaction","Interaction","-0.0","false"
"2017-07-01 00:00:00.000","9","3","93","Interaction","Interaction","-0.0","false"
"2017-08-01 00:00:00.000","10","3","103","Interaction","Interaction","0.0","false"
"2017-09-01 00:00:00.000","11","3","113","Interaction","Interaction","0.0","false"
"2017-10-01 00:00:00.000","12","3","123","Interaction","Interaction","-0.0","false"
"2017-11-01 00:00:00.000","13","3","133","Interaction","Interaction","-0.0","false"
"2017-12-01 00:00:00.000","14","3","143","Interaction","Interaction","0.0","false"
"2018-01-01 00:00:00.000","15","3","153","Interaction","Interaction","-0.0","false"
"2018-02-01 00:00:00.000","16","3","163","Interaction","Interaction","-0.0","false"
"2018-03-01 00:00:00.000","17","3","173","Interaction","Interaction","0.0","false"
"2018-04-01 00:00:00.000","18","3","183","Interaction","Interaction","0.0","false"
"2018-05-01 00:00:00.000","19","3","193","Interaction","Interaction","0.0","false"
"2018-06-01 00:00:00.000","20","3","203","Interaction","Interaction","-0.0","false"
"2018-07-01 00:00:00.000","21","3","213","Interaction","Interaction","0.0","false"
"2018-08-01 00:00:00.000","22","3","223","Interaction","Interaction","-0.0","false"
"2016-10-01 00:00:00.000","1","0","10","Start","AOV","134.97","true"
"2016-12-01 00:00:00.000","2","0","20","Start","AOV","128.83421725239606","true"
"2017-01-01 00:00:00.000","3","0","30","Start","AOV","10.9","true"
"2017-02-01 00:00:00.000","4","0","40","Start","AOV","122.45165388828066","true"
"2017-03-01 00:00:00.000","5","0","50","Start","AOV","126.0621097954793","true"
"2017-04-01 00:00:00.000","6","0","60","Start","AOV","123.98993786675871","true"
"2017-05-01 00:00:00.000","7","0","70","Start","AOV","132.60789412222644","true"
"2017-06-01 00:00:00.000","8","0","80","Start","AOV","122.2123501498498","true"
"2017-07-01 00:00:00.000","9","0","90","Start","AOV","120.9295987388934","true"
"2017-08-01 00:00:00.000","10","0","100","Start","AOV","109.05899456521702","true"
"2017-09-01 00:00:00.000","11","0","110","Start","AOV","115.63470919324533","true"
"2017-10-01 00:00:00.000","12","0","120","Start","AOV","128.22454507071916","true"
"2017-11-01 00:00:00.000","13","0","130","Start","AOV","124.32827963175973","true"
"2017-12-01 00:00:00.000","14","0","140","Start","AOV","116.55048613569164","true"
"2018-01-01 00:00:00.000","15","0","150","Start","AOV","117.3481800549527","true"
"2018-02-01 00:00:00.000","16","0","160","Start","AOV","115.04852556924078","true"
"2018-03-01 00:00:00.000","17","0","170","Start","AOV","109.92779063580613","true"
"2018-04-01 00:00:00.000","18","0","180","Start","AOV","118.91683297991626","true"
"2018-05-01 00:00:00.000","19","0","190","Start","AOV","124.38151143477567","true"
"2018-06-01 00:00:00.000","20","0","200","Start","AOV","125.16577336747615","true"
"2018-07-01 00:00:00.000","21","0","210","Start","AOV","122.12237660484907","true"
"2018-08-01 00:00:00.000","22","0","220","Start","AOV","124.65222748815052","true"
